UUID,External ID,Title,Subtitle,Creators,Creation Date,Publisher,Source URL,Collections,Tags,Status,Created At,Updated At
c3c5a21bd2c241b6a23d9b1ad68ee570,H096PS-XML-ENG,"10 Questions About Project-Driven Organizations, Answered",,Antonio Nieto-Rodriguez,2026-05-28T12:25:14Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","ceo:ceo, senior-leader:senior leader, 109980:digital article, 395127:organizational transformation, 391575:organizational restructuring, 391588:project management, 391589:agile project management, board-member:board member, c-suite-executive:c-suite executive, 391749:change management, 391564:organizational change",Ready,2026-07-16 13:18:01,2026-07-17 15:43:31
a920adf0db69440fa7c1e0e575007d51,H07RGN-XML-ENG,10 Questions to Ask Before Entering a Business Partnership,,"Rebecca Zucker, Jonathan Becker",2023-08-18T12:15:59Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","391683:interpersonal communication, 391689:interpersonal skills, 109980:digital article, 391272:entrepreneurship, 395113:scaling entrepreneurial ventures, 391288:start-ups, 391684:difficult conversations",Ready,2026-07-16 02:04:04,2026-07-17 15:23:35
7ad9ea77b38647a08d445459fd4928dc,H05K0G-XML-ENG,10 Questions to Guide Boards Through the Pandemic,,Dambisa Moyo,2020-04-13T12:35:32Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391452:corporate governance, 391453:boards, coronavirus:coronavirus, 391767:decision making and problem solving, timely:timely, 1608:corporate governance, 30164:boards, 1213:managing uncertainty, 109980:digital article",Ready,2026-05-22 17:56:27,2026-05-22 17:56:47
10de582f3a16429680317d8e45fa801d,H05C0Y-XML-ENG,10 Quick Tips for Avoiding Distractions at Work,,Steve Glaveski,2019-12-18T13:15:37Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","1730:productivity, 109980:digital article, 391691:personal productivity, commissioned:commissioned, special-series_distractions:special series_distractions",Ready,2026-05-22 15:35:58,2026-05-22 15:36:13
7fe9459c47604c859c80be797419b965,H005UC-XML-ENG,10 Reasons to Stop Apologizing for Your Online Life,,Alexandra Samuel,2010-07-15T13:30:01Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391843:social media, 109980:digital article, 105802:social platforms, 9162:managing yourself, 391837:web-based technologies, 391656:managing yourself, 2341:internet",Ready,2026-05-21 18:37:57,2026-05-22 20:18:45
17985f5e8fab4576b558541e03e5da07,H072OF-XML-ENG,10 Red Flags to Watch Out for in a Job Interview,,Rebecca Zucker,2022-06-07T12:05:40Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391663:career transitions, 109980:digital article, 391665:job interviews, tip:tip, 391661:career planning, 391666:job search, 391658:careers",Ready,2026-05-22 18:44:39,2026-05-22 18:44:57
5cee4d7d37d0415cbef2457c7b2a900b,H01S27-XML-ENG,10 Remarkable People on Having a Career That Matters,,HBR Editors,2014-12-24T13:00:51Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","1571:leadership, 1792:career planning, 109980:digital article, 391385:leadership, 391661:career planning",Ready,2026-07-31 19:50:50,2026-07-31 20:07:36
ac8689bc415b48b983dd9d0dd539def3,R1210F-XML-ENG,10 Rules for Managing Global Innovation,,"Keeley Wilson, Yves Doz",2012-10-01T04:00:00Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","110000:magazine article, 1565:innovation, 1731:project management, 1514:international business, 1779:creativity, 391522:international business, 391670:creativity, 391378:innovation, 391588:project management, author-mismatch:author mismatch, import-notice:import notice",Ready,2026-08-03 15:50:54,2026-08-03 16:24:35
7f602122f29a4ca0b1e61b3747ef696a,H093M9-XML-ENG,10 Rules for Navigating the Next Chapter of Global Tariffs,,Tom Linton,2026-03-04T13:25:08Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","391534:operations and supply chain management, 391256:globalization, 391267:trade, ceo:ceo, senior-leader:senior leader, 109980:digital article, c-suite-executive:c-suite executive",Ready,2026-07-16 13:14:25,2026-07-17 15:41:38
a2beb0272d23458088fd33a3c32f14a7,H08HUR-XML-ENG,10 Signs of a Toxic Boss — and How to Protect Yourself,,Colin D. Ellis,2025-02-06T13:15:34Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","391725:burnout, 391406:managing up, 391716:health and wellness, 391729:mental health, 391687:managing conflicts, 391728:stress management, 109980:digital article, 391656:managing yourself, 391689:interpersonal skills, 391724:wellness, 414589:toxic employees, seo:seo, tip:tip, 391684:difficult conversations, 391683:interpersonal communication",Ready,2026-08-03 14:56:03,2026-08-03 15:23:24
d31d63be11064f40a55407d0e0ccfa62,H07TNY-XML-ENG,10 Signs Your Company Is Resistant to Change,,"Frances X. Frei, Anne Morriss",2023-09-26T12:25:24Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","391560:organizational development, 391564:organizational change, 395127:organizational transformation, 391378:innovation, 391383:leadership and managing people, 391749:change management, 109980:digital article, 391408:business management, 391433:collaboration and teams, 391555:organizational culture, 391558:organizational decision making",Ready,2026-08-03 14:46:54,2026-08-03 15:18:57
31b682550ae645a88bd2a0f0e2f60c08,H002X5-XML-ENG,10 Social Media Travel Tools,,Alexandra Samuel,2009-03-06T13:44:50Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","1666:time management, 109980:digital article, 391843:social media, 391693:time management, 105802:social platforms, 1730:productivity, 391691:personal productivity",Ready,2026-05-21 15:41:04,2026-05-22 19:59:43
594301a49d9642948e95c1abc939468b,H05DLG-XML-ENG,10 Steps to Creating a Data-Driven Culture,,David Waller,2020-02-06T13:35:41Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","105886:data, 6519:analytics, commissioned:commissioned, 109980:digital article, 391810:analytics and data science, insight-center_the-data-driven-mindset:insight center_the data-driven mindset",Ready,2026-08-03 14:07:54,2026-08-03 14:32:44
176c1173c3c94de99f669f265548f383,H02KXE-XML-ENG,10 Sustainable Business Stories That Shaped 2015,,Andrew Winston,2015-12-23T16:00:35Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391472:sustainable business practices, 109980:digital article, 6616:sustainability",Ready,2026-05-21 20:30:18,2026-05-25 15:39:03
ad6d809515cf4a2aac96461e4e8a084c,H00L9M-XML-ENG,10 Sustainable Business Stories Too Important to Miss,,Andrew Winston,2013-12-17T17:00:48Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391472:sustainable business practices, 109980:digital article, 6616:sustainability",Ready,2026-05-21 19:37:48,2026-05-25 14:30:47
d2718328c4de4f3682d49e8293f367b3,H020EO-XML-ENG,10 Tactics for Launching a Product Using Social Media,,Joan Schneider,2015-04-16T16:00:07Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","2010:marketing, 391641:product launches, 109980:digital article, 391616:marketing",Ready,2026-05-21 20:13:29,2026-05-25 15:11:34
22bad73cd481473790c37f9ab96548d3,H06S8E-XML-ENG,10 Tactics to Keep Your Meeting on Track,,Joel Schwartzberg,2022-01-05T13:25:37Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391433:collaboration and teams, 109980:digital article, 391431:meeting management, 391400:management skills",Ready,2026-05-22 18:37:55,2026-05-22 18:38:11
95ab3b5dcb9a4feaac41de57fda40e6f,H00A7P-XML-ENG,10 TED Talks to Help You Reimagine Your Business,,Mitch Joel,2013-02-27T16:00:53Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","7697:strategy, 391735:strategy, 1565:innovation, 391378:innovation, 109980:digital article",Ready,2026-05-21 19:26:28,2026-05-22 21:00:11
a1ca2c6b77e444399bcb1c8817678565,H0064H-XML-ENG,10 Tips for Creating Distinct-but-Linked Innovation Groups,,Vijay Govindarajan,2010-08-23T13:43:00Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","1981:organizational culture, 7697:strategy, 391378:innovation, 391555:organizational culture, 391735:strategy, 1565:innovation, 109980:digital article",Ready,2026-05-21 18:39:27,2026-05-22 20:20:07
5c31f49547054bf9a178eac9530db121,H06884-XML-ENG,10 Truths About Marketing After the Pandemic,,Janet Balis,2021-03-10T13:15:18Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","109980:digital article, 391480:customer experience, 2010:marketing, 3239:branding, 2316:customers, 391616:marketing, 391612:brand management",Ready,2026-05-22 18:19:25,2026-05-22 18:19:47
d1ee9a3e215b4b3cbd0a776ef112f45e,H06ST5-XML-ENG,10 Ways Boards Can Act on Sustainability in 2022,,"Ron Soonieus, Louis Besland, Alice Breeden",2022-01-13T13:25:02Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391453:boards, new-author:new author, 109980:digital article, 391452:corporate governance, 391472:sustainable business practices, 391209:social and global issues",Ready,2026-05-22 18:38:16,2026-05-22 18:38:33
93af07f9a43f446f83fc6e5e72d6a3a4,H07FO9-XML-ENG,10 Ways to Boost Customer Satisfaction,,"G. Tomas M. Hult, Forrest V. Morgeson",2023-01-12T13:05:09Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391480:customer experience, 391605:sales and marketing, 391616:marketing, 405589:customer strategy, 109980:digital article, 391625:consumer behavior, 391636:social marketing, 391489:customer service, 391766:customer-centricity, new-author:new author",Ready,2026-05-22 18:57:09,2026-05-22 18:57:31
782582cdec964b618b60ba614a7bc259,H057W9-XML-ENG,10 Ways to Mitigate Bias in Your Company’s Decision Making,,Elizabeth C. Tippett,2019-10-21T12:05:43Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","109980:digital article, 9161:managing people, 391558:organizational decision making, 99117:race, 395116:managing people, 395112:race",Ready,2026-05-22 15:33:54,2026-05-22 15:34:09
e68163732e2d47638ec6892457fc548c,H07VH4-XML-ENG,10 Ways to Prove You’re a Strategic Thinker,,"Brenda Steinberg, Michael D. Watkins",2023-10-31T12:05:58Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","tip:tip, 391398:management communication, 391735:strategy, 391656:managing yourself, 391683:interpersonal communication, 109980:digital article",Ready,2026-08-03 14:47:48,2026-08-03 15:19:22
e3980a59672d4b1dbed144af43891be1,H08IHD-XML-ENG,10 Ways to Supercharge Your Career,,"Alison Beard, Curt Nickisch",2024-11-28T13:05:21Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","391656:managing yourself, 391385:leadership, 395116:managing people, 109980:digital article, 391661:career planning, 391378:innovation, 391735:strategy, 391683:interpersonal communication, 391767:decision making and problem solving",Ready,2026-08-03 14:56:39,2026-08-03 15:23:41
a12c9e8f0e9e4efc8aa573a942d18a14,H03NGL-XML-ENG,10 Years of Data on Baseball Teams Shows When Pay Transparency Backfires,,"Aaron D. Hill, Federico Aime, Jason W. Ridge",2017-05-09T13:00:44Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","new-author:new author, quick-copyedit:_quick copyedit, 3716:transparency, 1806:compensation, 391491:compensation and benefits, 391170:transparency, 109980:digital article, research:research",Ready,2026-05-22 14:42:45,2026-05-25 16:11:32
bb7f939439854dbea3f194735a70b23c,H009J3-XML-ENG,11 Books Every Young Leader Must Read,,John Coleman,2012-10-11T16:00:23Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","9162:managing yourself, 1571:leadership, 391656:managing yourself, 391385:leadership, 109980:digital article",Ready,2026-07-31 19:39:27,2026-07-31 20:00:32
b8240632422a4768a22d81001ae3dd89,H06B43-XML-ENG,11 Myths About Decision-Making,,Cheryl Strauss Einhorn,2021-04-20T12:15:22Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391767:decision making and problem solving, 1183:decision making, 109980:digital article",Ready,2026-05-22 18:21:06,2026-05-22 18:21:19
e197675a3d304585b6d7268a7e9c0cfa,H03ONE-XML-ENG,11 Things the Health Care Sector Must Do to Improve Cybersecurity,,"Rebecca Weintraub, Joram Borenstein",2017-06-01T14:10:52Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","commissioned:commissioned, 416763:healthcare sector, insight-center_the-leading-edge-of-health-care-2017:insight center_the leading edge of health care 2, new-author:new author, quick-copyedit:_quick copyedit, video:video, 109980:digital article, 1743:risk management, 5941:security & privacy, 391772:risk management, 391826:cybersecurity and digital privacy, 105882:healthcare",Ready,2026-07-31 20:32:47,2026-07-31 20:51:47
d7414ce1d9274072954e122f4d9ed3f8,H00H14-XML-ENG,11 Ways Big Companies Undermine Innovation,,Scott Kirsner,2013-10-21T17:00:44Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391272:entrepreneurship, 1565:innovation, 1545:entrepreneurship, 391378:innovation, 109980:digital article",Ready,2026-05-21 19:35:00,2026-05-25 14:27:44
f9f0004707e04af4b7c4e82d96575d22,H001LZ-XML-ENG,11 Ways to Build Your Personal Brand,,Gill Corkindale,2008-03-05T13:54:05Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391612:brand management, 109980:digital article, 3239:branding, 9162:managing yourself, 391661:career planning, 391656:managing yourself, 1792:career planning",Ready,2026-05-21 15:31:27,2026-05-22 19:52:15
e32d4f0aa3814b0681cfe1244b7fd5cf,H009LI-XML-ENG,"12 Guidelines for Deciding When to Persist, When to Quit",,Rosabeth Moss Kanter,2012-10-23T17:00:36Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","1575:change management, 109980:digital article, 391767:decision making and problem solving, 1183:decision making, 391749:change management",Ready,2026-05-21 19:21:44,2026-05-22 20:55:41
1f6662d9b7c54e7292e85fe1c9e458b4,H06LGU-XML-ENG,"12 Questions About Hybrid Work, Answered",,Tsedal Neeley,2021-09-28T17:01:23Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","391651:work environments, 402374:work-life balance, 473632:hybrid work, 232362:big idea, 109980:digital article, 391653:remote work, 391433:collaboration and teams, 391555:organizational culture",Ready,2026-08-03 14:18:08,2026-08-03 14:38:11
eae97ac16ac34a46aedc7dbd115e7370,H001LX-XML-ENG,12 Steps to Stop Scapegoating in Your Company,,Gill Corkindale,2008-02-20T11:05:20Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391555:organizational culture, 109980:digital article, 1571:leadership, 395116:managing people, 1981:organizational culture, 391385:leadership, 9161:managing people",Ready,2026-05-21 15:31:24,2026-05-22 19:52:13
f512b4b8a72e407397f7574920a67bae,H005Q1-XML-ENG,12 Things Good Bosses Believe,,Robert I. Sutton,2010-05-28T13:32:46Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","1571:leadership, 391385:leadership, 109980:digital article, 9161:managing people, 395116:managing people",Ready,2026-07-31 18:57:34,2026-07-31 19:16:16
d0da8f06c78b4f5591a4500dcf6e6492,H05Y38-XML-ENG,12 Words for Experiences We Can’t Name in English,,Tim Lomas,2020-10-20T13:22:08Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","366385:listicle, 420917:ascend, 9162:managing yourself, 391429:business communication, 1000:communication, 391656:managing yourself, ascend:ascend, new-author:new author",Ready,2026-05-22 18:06:20,2026-05-22 18:06:38
66c06f298e364c7cb68607c9856ede56,H07PIN-XML-ENG,13 Principles for Using AI Responsibly,,"Brian Spisak, Louis B. Rosenberg, Max Beilby",2023-06-30T12:15:51Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","109980:digital article, 391807:technology and analytics, 391808:ai and machine learning, 391819:automation, 391835:information management, new-authors:new authors",Ready,2026-07-15 20:58:35,2026-07-17 15:22:20
a74c7afbd62b4286af75c4c903975139,H037NY-XML-ENG,"13 Signs That Someone Is About to Quit, According to Research",,"Timothy M. Gardner, Peter W. Hom",2016-10-20T18:00:54Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","taxo2021:taxo2021, 1878:employee retention, 7116:talent management, 391517:employee retention, new-author:new author, research:research, 109980:digital article",Ready,2026-07-31 20:27:19,2026-07-31 20:48:32
151ea03ae0254884baebc9e463703a4d,H004IB-XML-ENG,13 Unlucky Mistakes in Managing Traumatic Change — and How to Avoid Them,,Rosabeth Moss Kanter,2010-03-22T15:22:21Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","1213:managing uncertainty, 1575:change management, 1571:leadership, 391767:decision making and problem solving, 391749:change management, 391385:leadership, 109980:digital article",Ready,2026-05-21 18:34:15,2026-05-22 20:15:18
2fffeb32e7fd4b3aaa735a96bd9833c0,H04SU2-XML-ENG,"13 Ways We Justify, Rationalize, or Ignore Negative Feedback",,Peter Bregman,2019-02-14T16:00:19Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391429:business communication, 109980:digital article, 11149:receiving feedback, 3878:difficult conversations, 1000:communication, 391680:receiving feedback, 391684:difficult conversations",Ready,2026-05-22 15:18:40,2026-05-22 15:18:56
a133406b3be54e27ab0ec2552ff40380,H05HK4-XML-ENG,"15 Questions About Remote Work, Answered",,Tsedal Neeley,2020-03-16T19:10:22Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391477:crisis management, 391436:leading teams, coronavirus:coronavirus, optimized:optimized, timely:timely, 391653:remote work, 109980:digital article, 1007:crisis management, 3982:health, 8672:leading teams, 391712:health and behavioral science",Ready,2026-05-22 17:54:54,2026-05-22 17:55:14
89cc51e1fd334db8a86336459cab43c7,H090XQ-XML-ENG,15 Reasons to Be Optimistic About Globalization,,Steven A. Altman,2025-12-22T13:25:34Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","board-member:board member, c-suite-executive:c-suite executive, ceo:ceo, senior-leader:senior leader, 109980:digital article, 391256:globalization, 391241:economics, 391267:trade, 391200:international relations, 391185:government, 391190:government policy and regulation, 533664:tariffs",Ready,2026-07-16 13:11:35,2026-07-17 15:40:12
c93241adf019431f889ea67b3d4f1d11,R1404K-XML-ENG,15 Rules for Negotiating a Job Offer,,Deepak Malhotra,2014-04-01T04:00:00Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","110000:magazine article, taxo2021:taxo2021, 1919:hiring, 391689:interpersonal skills, 391665:job interviews, 105788:negotiations, 391700:personal strategy and style, 391688:negotiating skills",Ready,2026-08-03 15:56:40,2026-08-03 16:26:53
