CORE_PRODUCT_ID,AVAILABILITY_PK,AIELIGIBILITY_SET,S3_PATH,COPYRIGHT_HOLDER_DISPLAY_NAME
H0991A,H0991A-XML-ENG,Limited Eligibility,website/article-content/2026/07/4-hidden-traps-of-team-dynamics,Harvard Business Review Digital Article
H0993B,H0993B-XML-ENG,Limited Eligibility,website/article-content/2026/07/are-you-biased-toward-job-candidates-who-reply-quickly,Harvard Business Review Digital Article
H0996Y,H0996Y-XML-ENG,Limited Eligibility,website/article-content/2026/07/stop-ai-from-eroding-your-brand,Harvard Business Review Digital Article
H0999K,H0999K-XML-ENG,Limited Eligibility,website/article-content/2026/07/research-roundup-the-death-of-the-cover-letter-boring-meetings-wide-salary-ranges-and-more,Harvard Business Review Digital Article
H0999M,H0999M-XML-ENG,Limited Eligibility,website/article-content/2026/07/the-best-teams-know-when-to-work-alone,Harvard Business Review Digital Article
H099A2,H099A2-XML-ENG,Limited Eligibility,website/article-content/2026/07/frontline-workers-know-how-to-solve-your-organizations-biggest-problems,Harvard Business Review Digital Article
H099BD,H099BD-XML-ENG,Limited Eligibility,website/article-content/2026/07/model-the-transformation-you-expect-employees-to-deliver,Harvard Business Review Digital Article
H099BI,H099BI-XML-ENG,Limited Eligibility,website/article-content/2026/07/when-employees-are-held-accountable-for-ai-generated-decisions,Harvard Business Review Digital Article
H099BQ,H099BQ-XML-ENG,Limited Eligibility,website/article-content/2026/07/responsible-ai-is-becoming-a-growth-strategy,Harvard Business Review Digital Article
H099GD,H099GD-XML-ENG,Limited Eligibility,website/article-content/2026/07/dont-let-ai-make-bad-analytics-worse,Harvard Business Review Digital Article
H099HG,H099HG-XML-ENG,Limited Eligibility,website/article-content/2026/07/research-why-some-junior-employees-work-well-with-ai-and-others-dont,Harvard Business Review Digital Article
H099HZ,H099HZ-XML-ENG,Limited Eligibility,website/article-content/2026/07/the-most-popular-articles-of-2026-so-far,Harvard Business Review Digital Article
H099IC,H099IC-XML-ENG,Limited Eligibility,website/article-content/2026/07/our-favorite-management-tips-on-setting-strategy-when-the-path-is-unclear,Harvard Business Review Digital Article
H099JX,H099JX-XML-ENG,Limited Eligibility,website/article-content/2026/07/the-case-for-hiring-job-hoppers,Harvard Business Review Digital Article
R2605F,R2605F-XML-ENG,Limited Eligibility,website/article-content/2026/09/dont-underestimate-the-power-of-customer-referrals,Harvard Business Review Digital Article
